date,oldTime,time_Combined,time_Unix,time,latitude,longitude,xcoord,ycoord,broadway,subway,male,race,perstop,age,frisked,searched,arstmade,sumissue,contrabn,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other
1/2/15,21:57,1/2/15 21:57,1420235820,165420,40.6643158,-73.9078035,1009828,181318,0,0,1,Black,12,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/2/15,22:00,1/2/15 22:00,1420236000,165600,40.6643158,-73.9078035,1009828,181318,0,0,1,Black,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,23:15,1/2/15 23:15,1420240500,170100,40.8999905,-73.8530036,1024887,267203,0,0,1,Black,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,23:35,1/2/15 23:35,1420241700,171300,40.6135535,-73.9817498,989317,162811,0,0,1,Black,10,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,23:50,1/2/15 23:50,1420242600,172200,40.8473932,-73.9046221,1010638,248020,0,0,1,Black,8,16,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/2/15,23:55,1/2/15 23:55,1420242900,172500,40.8473932,-73.9046221,1010638,248020,0,0,1,Black,1,18,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1/2/15,23:58,1/2/15 23:58,1420243080,172680,40.8473932,-73.9046221,1010638,248020,0,0,1,Black,5,17,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/3/15,0:30,1/3/15 0:30,1420245000,174600,40.676144,-73.8930673,1013911,185632,0,0,1,Hispanic,3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,1:00,1/3/15 1:00,1420246800,176400,40.6028141,-73.9552407,996679,158901,0,0,1,Black,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,1:00,1/3/15 1:00,1420246800,176400,40.6028141,-73.9552407,996679,158901,0,0,1,Black,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,1:00,1/3/15 1:00,1420246800,176400,40.6028141,-73.9552407,996679,158901,0,0,1,Black,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,1:00,1/3/15 1:00,1420246800,176400,40.5968166,-73.9550754,996726,156716,0,0,1,White,5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,1:05,1/3/15 1:05,1420247100,176700,40.6801376,-73.8408008,1028406,187109,0,0,1,Black,3,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,1:25,1/3/15 1:25,1420248300,177900,40.5442087,-74.1410398,945051,137578,0,0,1,White,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,1:30,1/3/15 1:30,1420248600,178200,40.7120705,-73.9969484,985096,198703,0,0,1,Hispanic,5,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,3:31,1/3/15 3:31,1420255860,185460,40.6121091,-73.9667815,993473,162286,0,0,1,White,10,21,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/3/15,3:31,1/3/15 3:31,1420255860,185460,40.6121091,-73.9667815,993473,162286,0,0,1,White,10,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/3/15,4:00,1/3/15 4:00,1420257600,187200,40.7077817,-73.946272,999146,197145,0,0,1,Hispanic,4,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,4:00,1/3/15 4:00,1420257600,187200,40.7077817,-73.946272,999146,197145,0,0,1,Hispanic,4,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,10:46,1/3/15 10:46,1420281960,211560,40.7490946,-73.8694007,1020436,212219,0,1,1,Hispanic,7,25,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1/3/15,12:20,1/3/15 12:20,1420287600,217200,40.6721609,-73.9872096,987798,184163,0,0,1,Black,2,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,12:21,1/3/15 12:21,1420287660,217260,40.7896242,-73.9400667,1000846,226964,0,0,1,Black,7,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/3/15,12:21,1/3/15 12:21,1420287660,217260,40.7914936,-73.9404984,1000726,227645,0,0,1,Black,7,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,18:55,1/3/15 18:55,1420311300,240900,40.7178849,-73.9403369,1000789,200827,0,0,1,Black,5,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,19:19,1/3/15 19:19,1420312740,242340,40.8666009,-73.8954437,1013169,255021,0,0,1,Hispanic,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,20:15,1/3/15 20:15,1420316100,245700,40.6699299,-73.9091403,1009455,183363,0,0,1,Black,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,21:30,1/3/15 21:30,1420320600,250200,40.8633522,-73.9028674,1011117,253835,0,0,1,Black,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,22:00,1/3/15 22:00,1420322400,252000,40.8371104,-73.9137257,1008123,244271,0,0,1,Hispanic,3,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/3/15,22:00,1/3/15 22:00,1420322400,252000,40.8371104,-73.9137257,1008123,244271,0,0,1,Hispanic,3,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/3/15,22:15,1/3/15 22:15,1420323300,252900,40.5949432,-73.796365,1040803,156096,0,0,1,Black,10,28,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/3/15,22:15,1/3/15 22:15,1420323300,252900,40.5949432,-73.796365,1040803,156096,0,0,1,Black,10,24,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
